N,Phosphorous,Potassium,Ph,Soil_Moisture,CEC,SEASON,Suitable_Label
90,42,43,6.502985292,5.5,44,Kharif     ,"rice,muskmelon,mango"
85,58,41,7.038096361,5.5,42,Kharif     ,"maize,grapes,blackgram"
60,55,44,7.840207144,5.5,33,Kharif     ,"chickpea,kidneybeans"
74,35,40,6.980400905,5.5,32,Whole Year ,"pigeonpeas,apple,coffee"
78,42,42,7.628472891,5.5,35,Whole Year ,"banana,mothbeans,mungbean"
69,37,42,7.073453503,5.5,31,Whole Year ,"lentil,pomegranate,watermelon"
69,55,38,5.70080568,5.5,30,Whole Year ,"orange,papaye,coconut"
94,53,40,5.718627178,5,25,Whole Year ,"cotton,jute,coffee"
89,54,38,6.685346424,5.5,27,Whole Year ,"mothbeans,rice,muskmelon"
68,58,38,6.336253525,5.5,28,Whole Year ,"rice,muskmelon,mango"
91,53,40,5.386167788,6.5,31,Kharif     ,"maize,grapes,blackgram"
90,46,42,7.50283396,5,32,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
78,58,44,5.108681786,4,33,Kharif     ,"pigeonpeas,apple,coffee"
93,56,36,6.98435366,5.5,36,Whole Year ,"banana,mothbeans,mungbean"
94,50,37,6.94801983,5.5,39,Whole Year ,"lentil,pomegranate,watermelon"
60,48,39,7.042299069,6.5,7,Whole Year ,"orange,papaye,coconut"
85,38,41,6.249050656,4,6,Whole Year ,"cotton,jute,coffee"
91,35,39,6.970859754,6,44,Whole Year ,"mothbeans,rice,muskmelon"
77,38,36,5.953933276,5,42,Kharif     ,"rice,muskmelon,mango"
88,35,40,5.85393208,5.5,43,Whole Year ,"maize,grapes,blackgram"
89,45,36,6.442475375,5.5,44,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
76,40,43,5.070175667,5.5,42,Whole Year ,"pigeonpeas,apple,coffee"
67,59,41,6.012632591,5.5,33,Whole Year ,"banana,mothbeans,mungbean"
83,41,43,6.254028451,5.5,32,Whole Year ,"lentil,pomegranate,watermelon"
98,47,37,7.375482851,5.5,35,Whole Year ,"orange,papaye,coconut"
66,53,41,7.778915154,5.5,31,Whole Year ,"cotton,jute,coffee"
97,59,43,6.286500176,5.5,30,Whole Year ,"mothbeans,rice,muskmelon"
97,50,41,7.070959995,5.5,25,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
60,49,44,6.244841491,5.5,27,Whole Year ,"pigeonpeas,apple,coffee"
84,51,35,6.043304899,5,28,Whole Year ,"banana,mothbeans,mungbean"
73,57,41,5.824709117,5.5,31,Whole Year ,"lentil,pomegranate,watermelon"
92,35,40,6.357389366,5.5,32,Whole Year ,"orange,papaye,coconut"
85,37,39,6.364134968,6.5,33,Whole Year ,"cotton,jute,coffee"
98,53,38,5.01450727,5,36,Whole Year ,"mothbeans,rice,muskmelon"
